Delta,Theta,Alpha,Beta

0.4992288105618281,-0.006233322123653795,-0.24980602602261587,-0.3521840779217941

0.7112498985860867,0.3929950935019973,0.11733240730431911,0.04046488920507616

0.7113900139692843,0.4438424000125889,0.23506439844205865,0.15846283860375943

0.33991216858463386,0.3376898204423562,0.29844849273451585,0.20201824894517442

0.5937096054939165,0.680419671858597,0.3208536699946971,0.2583305922112619

0.9180299990054827,0.8629903729395284,0.5388128338994049,0.24440800711373356

1.3029027425692454,1.1976862620144935,0.7978623954618973,0.34183096446480893

1.3507635451838502,1.2412261751071416,0.8081458777809221,0.2992177767522124

1.1694722451338813,0.9493174149286856,0.5705794905877548,0.17437523208737946

0.842062855401901,0.7186434991500817,0.3297573685858403,0.16156072013657158

0.8725731092717929,0.6704847930086344,0.3040465872634051,0.23631289442702483

0.8363671795228613,0.4995307754885226,0.3501484816574113,0.2870788238453242

0.6198599728967402,0.2599820769343182,0.3245894143274894,0.29068565969995164

0.12543806722131995,0.24546163715516167,0.2039636707067928,0.266124175855841

-0.1607664382460574,0.2810469608529243,0.002524518535452699,0.16809283087073484

-0.10129149956408155,0.0955412100707426,0.06684102956803951,0.16154702921513678

-0.04834100771300782,-0.14063719602503882,0.05299857344188991,0.1715059320349921

0.179339154549863,-0.11456764375616123,0.20710451417773687,0.19659577359606742

0.146288978658812,-0.029874774967665954,0.26663285899331773,0.19584728847157662

0.08098880002881301,0.09160680286202455,0.10013046889553627,0.1264878589103596

-0.05718680038431367,0.1587994325326202,0.05303852596204703,0.1262185823579394

0.026494068666940707,0.22193377998474798,0.04293178883453289,0.13774511309275927

0.31044713170045235,0.23240659882620998,-0.20197836162691687,0.21618323917832324

0.27124157678595057,0.3896113361896561,-0.05667041852839479,0.2623452871351015

0.2767438698429197,0.38499740861739645,-0.00677426665715789,0.278285397285403

0.14909633925823843,0.21115265767568875,-0.11130796296300931,0.269575103655776

0.07730953174872694,0.17230605710309185,-0.010062526725928521,0.23467121688753004

0.21577646862396,0.17178156882558002,0.0445627133816161,0.1578995224356462

0.7052603497659714,0.45153947195556116,0.21632927339458405,0.23520277723495633

1.1086814373442553,0.9501718662009361,0.42311392263322384,0.2973396588758239

1.2620417521522285,1.1032751032655503,0.5085609942480812,0.4102215614502628

1.2315959134941588,0.9439975603818336,0.40236763314364005,0.4769824740377885

0.9779082832665992,0.6064889756059737,0.3257643407213753,0.3714097327258869

0.66016691731169,0.3877807826270025,0.247672001283926,0.0957397113861451

-0.11634561960013023,0.05830385942285113,0.12134031000569118,0.03954561475422852

-0.00015020172093207682,0.03007133892843,0.1155815714091158,0.11428061074008149

0.5652795518615853,0.1426036403006646,0.17260296350227117,0.14606901245934045

0.8563071199095935,0.7454380194024252,0.3288905628154625,0.10396926554037653

1.234214659325645,1.0602923162560747,0.5399864497169142,0.17207537769634282

1.2434231997488132,1.0413229566836733,0.45089972073344886,0.21472780359137852

1.1297165550066128,0.6777222531189646,0.05452878046242882,0.2040408641094939

0.5564078831840155,0.1831557837593578,0.06904204253552584,0.24957956183241836

0.1619885726034873,-0.058113309009130004,0.1385390605887063,0.2365558347410683

0.14770122645521908,-0.20501496200754388,0.17282925360578164,0.1515967420036118

0.2327375443534999,-0.12705719057550668,0.026746629600660137,0.11201168586928986

0.13203174130304557,0.16485539458993348,0.07604523923877077,0.20998783357251605

0.151891699518968,0.16540501059417959,0.13711094174023644,0.23066878486182346

0.043830691018766764,-0.17161036044765995,0.30323275695290647,0.27844168617908616

0.11728952970015277,0.0401241236932902,0.44986573050436823,0.3524740597192569

0.10518191588914894,0.2094773413501256,0.4341019373567943,0.3697995357939722

0.2888001091611054,0.216932717955638,0.48205034724851387,0.34959412861750166

0.6779078728432836,0.5103004440624687,0.4866351228329,0.36878310302674244

0.9941297599691654,0.7969050554621782,0.46810860039798335,0.364523391316779

1.0198503373119001,0.7631041690459549,0.42299016728006517,0.2910303781487963

0.8830221823342962,0.4195348871682603,0.19080938885116078,0.338283133502745

0.5544320367928921,0.21501694578815564,0.0706665106311147,0.3679855806477489

0.3538846124196441,0.17245571259115572,0.10721975044808874,0.4040124816937967

0.3845312670672253,0.15448852182143552,0.08239559212474766,0.3649382048351755

0.4932743472188831,0.017582777134242385,-0.0464113385199799,0.31318574337756094

0.3083458649571498,0.12743799970204,-0.013178751035622369,0.30941409633422606

